Entity,Year,Access to improved drinking water,Access to unimproved drinking water,Access to limited drinking water,GDP per capita,Population (historical estimates),Death_Rate
Switzerland,2019,100,0,0,70944.35156,8575593,0.02
Tajikistan,2009,71.71,4.71,3.56,2293.712646,7468603,9.81
Tajikistan,2019,84.39,3.43,2.57,3581.411377,9337008,5.26
Tanzania,2009,52.81,31.71,10.64,1943.040894,43957940,64.82
Tanzania,2019,71.75,14.66,11.35,2660.637451,59872584,44.08
Thailand,2009,97.56,1.99,0.19,13458.52637,67813656,7.2
Thailand,2019,100,0,0.04,18453.4707,71307768,5.42
Timor,2009,68.22,25.93,6.13,2729.281494,1065543,29
Timor,2019,85.66,10.06,1.85,3626.673096,1280442,22.94
Togo,2009,61.38,21.56,4.97,1573.970703,6398626,112.25
Togo,2019,74.46,14.25,6.09,2121.899902,8243093,73.35
Tonga,2009,99.21,0.79,0.88,5129.891113,107159,3.43
Tonga,2019,99.58,0.42,0.88,6378.128418,104965,2.61
Trinidad and Tobago,2009,96.93,2.59,1.51,28103.26953,1401197,1.47
Trinidad and Tobago,2019,100,0,1.12,25827.88477,1519960,1.18
Tunisia,2009,95.6,4.07,3.71,10532.11328,10784499,1.07
Tunisia,2019,98.92,1.08,1.88,11417.12695,12049319,0.74
Turkey,2009,97.26,2.57,2.03,18731.51953,72225648,1.24
Turkey,2019,98.89,0.89,2.02,28197.24805,83481688,0.69
Turkmenistan,2009,94.91,0.85,1.48,8015.80957,5180961,2.68
Turkmenistan,2019,100,0,0.21,15538.41992,6158424,0.91
Tuvalu,2009,98.89,1.11,0,3408.571289,10427,14.75
Tuvalu,2019,100,0,0,4274.763184,10983,11.23
Uganda,2009,71.32,18.84,32.59,1830.954712,31412526,51.65
Uganda,2019,82.12,12.74,27.89,2182.899658,42949076,40.58
Ukraine,2009,98.83,1.13,3.31,11694.44824,45863884,0.1
Ukraine,2019,99.53,0.17,5.66,12804.95508,44211100,0.09
United Arab Emirates,2009,99.97,0.03,0,58374.61719,7992658,2.2
United Arab Emirates,2019,99.97,0.03,0,68263.67188,9211660,1.46
United Kingdom,2009,100,0,0,41592.92969,62243384,0.05
United Kingdom,2019,100,0,0,47368.58594,66778660,0.03
United States,2009,98.88,1.12,0,53399.36719,308512032,0.09
United States,2019,99.8,0.2,0,62630.875,334319680,0.06
Uruguay,2009,98.79,1.13,0.57,17948.42969,3344161,1.12
Uruguay,2019,100,0,0.51,23032.73438,3428412,0.94
Uzbekistan,2009,95.77,0.84,0,4735.995117,28167840,0.52
Uzbekistan,2019,97.83,0.22,0,7348.146973,32976946,0.3
Vanuatu,2009,86.77,6.58,1,3129.64502,239700,53.82
Vanuatu,2019,92.28,0,1.06,3137.240967,304414,39.85
Vietnam,2009,88.84,7.31,0.77,4830.305176,86482920,2.94
Vietnam,2019,96.21,3.79,0,8041.178223,95776712,1.67
Zambia,2009,61.25,25.48,5.01,2917.515625,13318094,91.24
Zambia,2019,70.67,21.93,6.06,3470.435547,18380478,50.32
Zimbabwe,2009,78.31,15.28,10.24,2413.126709,12679812,79.42
Zimbabwe,2019,76.96,16.21,13.86,3630.033936,15354606,45.91
